1542223337.623754,1542223339.9116511
1542223342.391569,1542223344.455511
1542223346.2475572,1542223348.207388
1542223349.4232209,1542223351.3993118
1542223353.919265,1542223356.159092
1542223361.111047,1542223362.982916
1542223367.839076,1542223369.4630558
1542223373.8542662,1542223375.702461
1542223378.214417,1542223379.990279
1542223383.709165,1542223386.053065
1542223388.676765,1542223390.332878
1542223392.4368482,1542223394.156914
1542223396.556792,1542223398.516594
1542223400.892596,1542223402.940597
1542223405.892432,1542223408.292419
1542223410.6363451,1542223413.236219
1542223415.412096,1542223417.124175
1542223420.751334,1542223422.3833652
