1542224631.942373,1542224633.2222772
1542224636.7837398,1542224637.543631
1542224640.047582,1542224641.319377
1542224644.095541,1542224644.959255
1542224647.647326,1542224649.111181
1542224651.879123,1542224653.695141
1542224655.966794,1542224657.5989618
1542224659.223059,1542224661.278656
1542224663.118804,1542224665.3267431
1542224667.2387142,1542224669.0306509
1542224670.798679,1542224672.662484
1542224674.7424839,1542224676.406432
1542224678.566282,1542224679.950224
1542224681.118138,1542224683.014205
1542224685.5019672,1542224687.462049
1542224689.5900428,1542224691.205976
1542651528.799659,1542651590.291685
1542651600.424661,1542651661.553848
