timestamp,alpha_absolute_ch1,alpha_absolute_ch2,alpha_absolute_ch3,alpha_absolute_ch4,beta_absolute_ch1,beta_absolute_ch2,beta_absolute_ch3,beta_absolute_ch4,delta_absolute_ch1,delta_absolute_ch2,delta_absolute_ch3,delta_absolute_ch4,theta_absolute_ch1,theta_absolute_ch2,theta_absolute_ch3,theta_absolute_ch4,gamma_absolute_ch1,gamma_absolute_ch2,gamma_absolute_ch3,gamma_absolute_ch4,alpha_relative_ch1,alpha_relative_ch2,alpha_relative_ch3,alpha_relative_ch4,beta_relative_ch1,beta_relative_ch2,beta_relative_ch3,beta_relative_ch4,delta_relative_ch1,delta_relative_ch2,delta_relative_ch3,delta_relative_ch4,theta_relative_ch1,theta_relative_ch2,theta_relative_ch3,theta_relative_ch4,gamma_relative_ch1,gamma_relative_ch2,gamma_relative_ch3,gamma_relative_ch4,alpha_session_score_ch1,alpha_session_score_ch2,alpha_session_score_ch3,alpha_session_score_ch4,beta_session_score_ch1,beta_session_score_ch2,beta_session_score_ch3,beta_session_score_ch4,delta_session_score_ch1,delta_session_score_ch2,delta_session_score_ch3,delta_session_score_ch4,theta_session_score_ch1,theta_session_score_ch2,theta_session_score_ch3,theta_session_score_ch4,gamma_session_score_ch1,gamma_session_score_ch2,gamma_session_score_ch3,gamma_session_score_ch4,Label
1542221989,0.626179039,0.247750908,0.290857702,0.571064174,0.794767678,0.589071453,0.491460294,0.750766993,0.21914795,0.924504578,1.327974916,1.686543345,0.200172067,0.140735582,0.650995612,1.184841275,0.640015185,0.575731099,0.199568689,0.495740592,0.234007791,0.092125796,0.060308713,0.048759706,0.34499988,0.20216307,0.09571559,0.073750317,0.091664083,0.437658042,0.656897068,0.636121809,0.08774519,0.07200554,0.138203159,0.200372532,0.241583064,0.196047559,0.048875485,0.040995624,0,0,0.316326529,0.333333343,0.513513505,0.382352948,1,0.833333313,0,0.02020202,0.629629612,0.698113203,0.05172414,0.074074075,0.486956507,0.875,0.181818187,0.697674394,0.888888896,0.360655725,
1542221989,0.626179039,0.252551675,0.286547363,0.563350677,0.794767678,0.584479988,0.500930965,0.763553083,0.21914795,0.876253247,1.359555364,1.759324431,0.200172067,0.162934437,0.687372804,1.250289083,0.640015185,0.582058549,0.204180852,0.491263658,0.234007791,0.097078562,0.056139391,0.04166884,0.34499988,0.208473891,0.091971084,0.066071436,0.091664083,0.408154786,0.664164543,0.654312372,0.08774519,0.078977995,0.141284049,0.202651471,0.241583064,0.207314759,0.046440959,0.035295907,0,0,0.306122452,0.316666663,0.513513505,0.352941185,1,0.875,0,0,0.666666687,0.773584902,0.05172414,0.09259259,0.513043463,0.972222209,0.181818187,0.720930219,0.886363626,0.360655725,
1542221989,0.626179039,0.220268101,0.314400077,0.563350677,0.794767678,0.578852654,0.508959532,0.763553083,0.21914795,0.828757942,1.375774622,1.759324431,0.200172067,0.17546694,0.73749429,1.250289083,0.640015185,0.582445323,0.210589781,0.491263658,0.234007791,0.094809733,0.057079066,0.04166884,0.34499988,0.216489837,0.089338012,0.066071436,0.091664083,0.384895414,0.657432735,0.654312372,0.08774519,0.08551687,0.151206717,0.202651471,0.241583064,0.218288139,0.044943463,0.035295907,0,0,0.336734682,0.316666663,0.513513505,0.352941185,1,0.875,0,0,0.67592591,0.773584902,0.05172414,0.076190479,0.556521714,0.972222209,0.181818187,0.720930219,0.909090936,0.360655725,
1542221989,0.626179039,0.156620517,0.399072826,0.563350677,0.794767678,0.572801173,0.514609575,0.763553083,0.21914795,0.794141948,1.378868699,1.759324431,0.200172067,0.179763615,0.791291177,1.250289083,0.640015185,0.578913033,0.213575825,0.491263658,0.234007791,0.085862868,0.066800803,0.04166884,0.34499988,0.223864913,0.087160245,0.066071436,0.091664083,0.372672051,0.63764292,0.654312372,0.08774519,0.090562522,0.16481626,0.202651471,0.241583064,0.227037653,0.043579746,0.035295907,0,0,0.428571433,0.316666663,0.513513505,0.323529422,1,0.875,0,0,0.698113203,0.773584902,0.05172414,0.085714288,0.605263174,0.972222209,0.181818187,0.720930219,0.909090936,0.360655725,
1542221989,0.626179039,0.133499756,0.458713442,0.563350677,0.794767678,0.566578448,0.515014052,0.763553083,0.21914795,0.773716033,1.37327075,1.759324431,0.200172067,0.182521209,0.833136082,1.250289083,0.640015185,0.573256075,0.207427949,0.491263658,0.234007791,0.08368066,0.075293459,0.04166884,0.34499988,0.226831719,0.085715204,0.066071436,0.091664083,0.36546129,0.618464112,0.654312372,0.08774519,0.093679935,0.178311735,0.202651471,0.241583064,0.230346397,0.042215481,0.035295907,0,0,0.489795923,0.316666663,0.513513505,0.294117659,1,0.875,0,0,0.688679218,0.773584902,0.05172414,0.085714288,0.640350878,0.972222209,0.181818187,0.697674394,0.909090936,0.360655725,
1542221989,0.626179039,0.144800335,0.463137686,0.563350677,0.794767678,0.562963665,0.508046627,0.763553083,0.21914795,0.758339942,1.36646831,1.759324431,0.200172067,0.183927834,0.856591463,1.250289083,0.640015185,0.56648618,0.190391958,0.491263658,0.234007791,0.087251775,0.076211773,0.04166884,0.34499988,0.228527054,0.084514461,0.066071436,0.091664083,0.358355373,0.610032141,0.654312372,0.08774519,0.095477663,0.188571408,0.202651471,0.241583064,0.230388135,0.040670201,0.035295907,0,0,0.489795923,0.316666663,0.513513505,0.294117659,1,0.875,0,0,0.679245293,0.773584902,0.05172414,0.085714288,0.657894731,0.972222209,0.181818187,0.674418628,0.863636374,0.360655725,
1542221989,0.626179039,0.173379585,0.472351402,0.563350677,0.794767678,0.565814257,0.492842168,0.763553083,0.21914795,0.735505462,1.365794539,1.759324431,0.200172067,0.189470336,0.861520827,1.250289083,0.640015185,0.559397161,0.16596508,0.491263658,0.234007791,0.094454095,0.07802467,0.04166884,0.34499988,0.233160764,0.081794232,0.066071436,0.091664083,0.344624937,0.610485077,0.654312372,0.08774519,0.098019287,0.191161916,0.202651471,0.241583064,0.229740933,0.038534135,0.035295907,0,0,0.5,0.316666663,0.513513505,0.294117659,1,0.875,0,0,0.679245293,0.773584902,0.05172414,0.095238097,0.666666687,0.972222209,0.181818187,0.674418628,0.795454562,0.360655725,
1542221989,0.626179039,0.218310043,0.472351402,0.563350677,0.794767678,0.576903582,0.471081197,0.763553083,0.21914795,0.699392915,1.37414217,1.759324431,0.200172067,0.199682027,0.858979344,1.250289083,0.640015185,0.553362429,0.140503258,0.491263658,0.234007791,0.106022671,0.077671975,0.04166884,0.34499988,0.242098585,0.077445142,0.066071436,0.091664083,0.320982695,0.61951977,0.654312372,0.08774519,0.101571232,0.189187452,0.202651471,0.241583064,0.229324833,0.036175638,0.035295907,0,0,0.5,0.316666663,0.513513505,0.323529422,0.978260875,0.875,0,0,0.682692289,0.773584902,0.05172414,0.104761906,0.666666687,0.972222209,0.181818187,0.642857134,0.75,0.360655725,
1542221989,0.626179039,0.218310043,0.492627382,0.563350677,0.794767678,0.595486462,0.446369618,0.763553083,0.21914795,0.652587533,1.390207291,1.759324431,0.200172067,0.213534743,0.859681785,1.250289083,0.640015185,0.550337672,0.119212344,0.491263658,0.234007791,0.108242743,0.079683013,0.04166884,0.34499988,0.257973552,0.071632147,0.066071436,0.091664083,0.294222772,0.629427373,0.654312372,0.08774519,0.107059076,0.18553257,0.202651471,0.241583064,0.23250185,0.0337249,0.035295907,0,0,0.520408154,0.316666663,0.513513505,0.382352948,0.913043499,0.875,0,0,0.70873785,0.773584902,0.05172414,0.105769232,0.666666687,0.972222209,0.181818187,0.642857134,0.704545438,0.360655725,
1542221989,0.626179039,0.225349247,0.573635757,0.563350677,0.794767678,0.61617744,0.421898663,0.763553083,0.21914795,0.602727056,1.410458326,1.759324431,0.200172067,0.226168528,0.865615368,1.250289083,0.640015185,0.549827814,0.104157388,0.491263658,0.234007791,0.111649148,0.091987848,0.04166884,0.34499988,0.27458933,0.064862452,0.066071436,0.091664083,0.266215444,0.631761253,0.654312372,0.08774519,0.11185997,0.180181459,0.202651471,0.241583064,0.235686123,0.031207005,0.035295907,0,0,0.602040827,0.316666663,0.513513505,0.441176474,0.866666675,0.875,0,0,0.728155315,0.773584902,0.05172414,0.115384616,0.666666687,0.972222209,0.181818187,0.642857134,0.674418628,0.360655725,
