timestamp,alpha_absolute_ch1,alpha_absolute_ch2,alpha_absolute_ch3,alpha_absolute_ch4,beta_absolute_ch1,beta_absolute_ch2,beta_absolute_ch3,beta_absolute_ch4,delta_absolute_ch1,delta_absolute_ch2,delta_absolute_ch3,delta_absolute_ch4,theta_absolute_ch1,theta_absolute_ch2,theta_absolute_ch3,theta_absolute_ch4,gamma_absolute_ch1,gamma_absolute_ch2,gamma_absolute_ch3,gamma_absolute_ch4,alpha_relative_ch1,alpha_relative_ch2,alpha_relative_ch3,alpha_relative_ch4,beta_relative_ch1,beta_relative_ch2,beta_relative_ch3,beta_relative_ch4,delta_relative_ch1,delta_relative_ch2,delta_relative_ch3,delta_relative_ch4,theta_relative_ch1,theta_relative_ch2,theta_relative_ch3,theta_relative_ch4,gamma_relative_ch1,gamma_relative_ch2,gamma_relative_ch3,gamma_relative_ch4,alpha_session_score_ch1,alpha_session_score_ch2,alpha_session_score_ch3,alpha_session_score_ch4,beta_session_score_ch1,beta_session_score_ch2,beta_session_score_ch3,beta_session_score_ch4,delta_session_score_ch1,delta_session_score_ch2,delta_session_score_ch3,delta_session_score_ch4,theta_session_score_ch1,theta_session_score_ch2,theta_session_score_ch3,theta_session_score_ch4,gamma_session_score_ch1,gamma_session_score_ch2,gamma_session_score_ch3,gamma_session_score_ch4
1542222443.007406,0.7798574566841125,0.7341380715370178,0.5740580558776855,0.9561841487884521,0.5347074866294861,0.4942329227924347,-0.022805077955126762,0.45790907740592957,1.6826744079589844,1.446861743927002,0.8845084309577942,1.7475305795669556,1.327649712562561,0.8483583927154541,0.5348442196846008,1.2980022430419922,0.3456457853317261,0.21437935531139374,-0.2545988857746124,0.3260425329208374,0.07428470253944397,0.11991216987371445,0.22941578924655914,0.10066571086645126,0.04224248602986336,0.06901732087135315,0.05804437771439552,0.031959980726242065,0.5939041972160339,0.6188521981239319,0.4688928723335266,0.6226271390914917,0.2622355818748474,0.1559852659702301,0.2096087783575058,0.221156507730484,0.027333026751875877,0.03623301908373833,0.034038182348012924,0.023590654134750366,0.6625000238418579,0.7377049326896667,0.7592592835426331,0.8414633870124817,0.359375,0.23333333432674408,0.016393441706895828,0.15789473056793213,0.9466666579246521,0.6697247624397278,0.2222222238779068,0.9453125,1.0,0.5789473652839661,0.4344262182712555,0.8897637724876404,0.25,0.0,0.02777777798473835,0.2982456088066101
1542222443.0972002,0.7310527563095093,0.6894639134407043,0.5740580558776855,0.9561841487884521,0.5213403105735779,0.47693097591400146,-0.006496954243630171,0.4728798568248749,1.642031192779541,1.5662988424301147,0.8912138938903809,1.7801499366760254,1.270823359489441,0.877647340297699,0.5292602181434631,1.3093187808990479,0.3186681270599365,0.2371530681848526,-0.21805797517299652,0.2926332354545593,0.0734424963593483,0.0905880555510521,0.2271832823753357,0.09552834928035736,0.04531427100300789,0.05553131923079491,0.05967897176742554,0.031392652541399,0.5983095169067383,0.6821907162666321,0.47155478596687317,0.636939287185669,0.25451773405075073,0.13971863687038422,0.20491723716259003,0.21541054546833038,0.028415990993380547,0.0319712832570076,0.03666572645306587,0.020729145035147667,0.6000000238418579,0.6833333373069763,0.7735849022865295,0.8414633870124817,0.3333333432674408,0.20000000298023224,0.032786883413791656,0.18421052396297455,0.9200000166893005,0.7798165082931519,0.23076923191547394,0.9765625,1.0,0.5913978219032288,0.42975205183029175,0.9047619104385376,0.22058823704719543,0.029411764815449715,0.0833333358168602,0.24561403691768646
1542222443.195297,0.6342567801475525,0.6592206954956055,0.5740580558776855,0.9561841487884521,0.5182380676269531,0.47219809889793396,0.015007160604000092,0.4853685200214386,1.578485369682312,1.6871283054351807,0.9253724217414856,1.822471261024475,1.1959575414657593,0.9329879879951477,0.5268390774726868,1.331469178199768,0.2989237308502197,0.2766314148902893,-0.17288798093795776,0.2553868293762207,0.06817808002233505,0.06846271455287933,0.21750520169734955,0.088807612657547,0.052194662392139435,0.04450732842087746,0.06003696471452713,0.030035480856895447,0.5996162295341492,0.7300654053688049,0.4884093701839447,0.6527356505393982,0.24851094186306,0.12859420478343964,0.19509701430797577,0.2107343077659607,0.031500086188316345,0.028370359912514687,0.03895144537091255,0.01768694818019867,0.4749999940395355,0.6333333253860474,0.7735849022865295,0.8414633870124817,0.3333333432674408,0.20000000298023224,0.06557376682758331,0.21052631735801697,0.8716216087341309,0.8899082541465759,0.25641027092933655,1.0,0.9435483813285828,0.6521739363670349,0.42148759961128235,0.920634925365448,0.19117647409439087,0.0882352963089943,0.1527777761220932,0.17543859779834747
1542222443.303242,0.5163869857788086,0.6639972925186157,0.5740580558776855,0.9561841487884521,0.527277410030365,0.4808632731437683,0.04338175803422928,0.49395525455474854,1.511733889579773,1.7873584032058716,0.969418466091156,1.8736742734909058,1.1258878707885742,0.9958799481391907,0.5215879678726196,1.3611899614334106,0.2915673851966858,0.3210556209087372,-0.1271493136882782,0.21239855885505676,0.06029960513114929,0.05700545012950897,0.20554880797863007,0.08106311410665512,0.061830803751945496,0.03739231452345848,0.06056736037135124,0.027963684871792793,0.5965698957443237,0.7573166489601135,0.5108287334442139,0.6703682541847229,0.24536657333374023,0.12240495532751083,0.18215657770633698,0.20598192512989044,0.03593311458826065,0.02588062174618244,0.04089851677417755,0.014623042196035385,0.32499998807907104,0.6440678238868713,0.7735849022865295,0.8414633870124817,0.3333333432674408,0.21666666865348816,0.11666666716337204,0.2368421107530594,0.8310810923576355,0.9907407164573669,0.29914531111717224,1.0,0.8943089246749878,0.717391312122345,0.42148759961128235,0.9444444179534912,0.1764705926179886,0.1617647111415863,0.2083333283662796,0.10526315867900848
1542222443.380803,0.5163869857788086,0.6784307360649109,0.5740580558776855,0.9561841487884521,0.527277410030365,0.49683138728141785,0.07731830328702927,0.49395525455474854,1.511733889579773,1.860384464263916,1.0043559074401855,1.8736742734909058,1.1258878707885742,1.043540120124817,0.5029067993164062,1.3611899614334106,0.2915673851966858,0.3604748845100403,-0.08811499178409576,0.21239855885505676,0.06029960513114929,0.0508621409535408,0.196906179189682,0.08106311410665512,0.061830803751945496,0.03348075971007347,0.0627363994717598,0.027963684871792793,0.5965698957443237,0.7733007669448853,0.5303434133529663,0.6703682541847229,0.24536657333374023,0.11789734661579132,0.16715064644813538,0.20598192512989044,0.03593311458826065,0.024459004402160645,0.04286336526274681,0.014623042196035385,0.32499998807907104,0.6779661178588867,0.7735849022865295,0.8414633870124817,0.3333333432674408,0.23333333432674408,0.18333333730697632,0.2368421107530594,0.8310810923576355,1.0,0.32478633522987366,1.0,0.8943089246749878,0.77173912525177,0.40495866537094116,0.9444444179534912,0.1764705926179886,0.22058823704719543,0.2638888955116272,0.10526315867900848
1542222443.507494,0.5163869857788086,0.6729282140731812,0.5740580558776855,0.9561841487884521,0.527277410030365,0.5111920833587646,0.11202526837587357,0.49395525455474854,1.511733889579773,1.9069902896881104,1.018567442893982,1.8736742734909058,1.1258878707885742,1.0660479068756104,0.4626481235027313,1.3611899614334106,0.2915673851966858,0.39017412066459656,-0.058939289301633835,0.21239855885505676,0.06029960513114929,0.04581903666257858,0.19475583732128143,0.08106311410665512,0.061830803751945496,0.03157256171107292,0.06721367686986923,0.027963684871792793,0.5965698957443237,0.7854310274124146,0.5420006513595581,0.6703682541847229,0.24536657333374023,0.11328321695327759,0.15068864822387695,0.20598192512989044,0.03593311458826065,0.023894164711236954,0.045341212302446365,0.014623042196035385,0.32499998807907104,0.6610169410705566,0.7735849022865295,0.8414633870124817,0.3333333432674408,0.2666666805744171,0.23333333432674408,0.2368421107530594,0.8310810923576355,1.0,0.34188035130500793,1.0,0.8943089246749878,0.8021978139877319,0.3719008266925812,0.9444444179534912,0.1764705926179886,0.2537313401699066,0.3055555522441864,0.10526315867900848
1542222443.608417,0.5163869857788086,0.6385238170623779,0.5183328986167908,0.9561841487884521,0.527277410030365,0.5186783075332642,0.14235974848270416,0.49395525455474854,1.511733889579773,1.932058572769165,1.012604832649231,1.8736742734909058,1.1258878707885742,1.0654042959213257,0.39995723962783813,1.3611899614334106,0.2915673851966858,0.41174793243408203,-0.038974590599536896,0.21239855885505676,0.06029960513114929,0.040515121072530746,0.17920659482479095,0.08106311410665512,0.061830803751945496,0.030744794756174088,0.07540164142847061,0.027963684871792793,0.5965698957443237,0.7964378595352173,0.5592756867408752,0.6703682541847229,0.24536657333374023,0.10826736688613892,0.13645149767398834,0.20598192512989044,0.03593311458826065,0.024034840986132622,0.04966454952955246,0.014623042196035385,0.32499998807907104,0.6101694703102112,0.6792452931404114,0.8414633870124817,0.3333333432674408,0.28333333134651184,0.28333333134651184,0.2368421107530594,0.8310810923576355,1.0,0.3333333432674408,1.0,0.8943089246749878,0.8021978139877319,0.32231405377388,0.9444444179534912,0.1764705926179886,0.28358209133148193,0.3333333432674408,0.10526315867900848
1542222443.6788049,0.5163869857788086,0.6007058024406433,0.3689168095588684,0.9561841487884521,0.527277410030365,0.5188724994659424,0.1651381403207779,0.49395525455474854,1.511733889579773,1.9418776035308838,0.9952732920646667,1.8736742734909058,1.1258878707885742,1.0532876253128052,0.3280394375324249,1.3611899614334106,0.2915673851966858,0.4287828803062439,-0.025003870949149132,0.21239855885505676,0.06029960513114929,0.036665935069322586,0.13947901129722595,0.08106311410665512,0.061830803751945496,0.030368927866220474,0.08724291622638702,0.027963684871792793,0.5965698957443237,0.8043306469917297,0.590018093585968,0.6703682541847229,0.24536657333374023,0.10395480692386627,0.12694963812828064,0.20598192512989044,0.03593311458826065,0.024679698050022125,0.056310344487428665,0.014623042196035385,0.32499998807907104,0.5423728823661804,0.3921568691730499,0.8414633870124817,0.3333333432674408,0.28333333134651184,0.3166666626930237,0.2368421107530594,0.8310810923576355,1.0,0.3162393271923065,1.0,0.8943089246749878,0.791208803653717,0.2689075767993927,0.9444444179534912,0.1764705926179886,0.3076923191547394,0.3472222089767456,0.10526315867900848
1542222443.820928,0.5163869857788086,0.5711828470230103,0.11131586879491806,0.9561841487884521,0.527277410030365,0.5174537301063538,0.1809772253036499,0.49395525455474854,1.511733889579773,1.9432471990585327,0.9761701226234436,1.8736742734909058,1.1258878707885742,1.0431218147277832,0.26633065938949585,1.3611899614334106,0.2915673851966858,0.4463832378387451,-0.013110908679664135,0.21239855885505676,0.06029960513114929,0.03430264815688133,0.08561939746141434,0.08106311410665512,0.061830803751945496,0.03031087853014469,0.10051561892032623,0.027963684871792793,0.5965698957443237,0.8079639673233032,0.6272294521331787,0.6703682541847229,0.24536657333374023,0.10168728232383728,0.1223452091217041,0.20598192512989044,0.03593311458826065,0.02573522925376892,0.06429029256105423,0.014623042196035385,0.32499998807907104,0.49152541160583496,0.0,0.8414633870124817,0.3333333432674408,0.2666666805744171,0.3499999940395355,0.2368421107530594,0.8310810923576355,1.0,0.2931034564971924,1.0,0.8943089246749878,0.7802197933197021,0.21008403599262238,0.9444444179534912,0.1764705926179886,0.32307693362236023,0.3611111044883728,0.10526315867900848
1542222443.8967612,0.5163869857788086,0.5647458434104919,-0.16423872113227844,0.9561841487884521,0.527277410030365,0.5193872451782227,0.1913374364376068,0.49395525455474854,1.511733889579773,1.9428935050964355,0.9618820548057556,1.8736742734909058,1.1258878707885742,1.0369114875793457,0.22547808289527893,1.3611899614334106,0.2915673851966858,0.46929648518562317,-0.0009096168796531856,0.21239855885505676,0.06029960513114929,0.03383440151810646,0.04866891726851463,0.08106311410665512,0.061830803751945496,0.030478941276669502,0.11036410182714462,0.027963684871792793,0.5965698957443237,0.8081763982772827,0.6506875157356262,0.6703682541847229,0.24536657333374023,0.10035156458616257,0.11939015239477158,0.20598192512989044,0.03593311458826065,0.0271587111055851,0.07088931649923325,0.014623042196035385,0.32499998807907104,0.4655172526836395,0.0,0.8414633870124817,0.3333333432674408,0.28333333134651184,0.36666667461395264,0.2368421107530594,0.8310810923576355,1.0,0.2844827473163605,1.0,0.8943089246749878,0.7692307829856873,0.17094017565250397,0.9444444179534912,0.1764705926179886,0.3692307770252228,0.39436620473861694,0.10526315867900848
